approach_id,intersection_id,crossing_width_ft,width_iqr_ft,valid_samples
APP_00387,INT_0232,35.0,22.0,5
APP_00388,INT_0233,41.0,8.0,5
APP_00389,INT_0234,48.0,22.0,5
APP_00390,INT_0234,27.0,7.0,5
APP_00391,INT_0235,26.0,28.0,5
APP_00392,INT_0235,42.0,15.0,5
APP_00393,INT_0236,51.0,10.0,5
APP_00394,INT_0236,12.0,8.0,5
APP_00395,INT_0238,18.0,26.0,5
APP_00396,INT_0238,39.0,1.0,5
APP_00397,INT_0239,49.0,17.0,5
APP_00398,INT_0239,45.0,0.0,5
APP_00399,INT_0240,19.0,5.0,5
APP_00400,INT_0240,51.0,20.0,5
APP_00401,INT_0241,59.0,43.0,5
APP_00402,INT_0241,47.0,8.0,5
APP_00403,INT_0242,30.0,19.0,5
APP_00404,INT_0243,39.0,7.0,5
APP_00405,INT_0243,37.0,13.0,5
APP_00406,INT_0243,47.0,3.0,5
APP_00407,INT_0244,38.0,24.0,5
APP_00408,INT_0244,46.0,16.0,5
APP_00409,INT_0245,55.0,4.0,5
APP_00410,INT_0245,52.0,2.0,5
APP_00411,INT_0247,21.0,4.0,5
APP_00412,INT_0247,22.0,1.0,5
APP_00413,INT_0248,62.0,0.0,1
APP_00414,INT_0254,44.0,6.0,5
APP_00415,INT_0255,35.0,17.0,5
APP_00416,INT_0255,39.0,1.0,5
APP_00417,INT_0255,32.0,15.0,5
APP_00418,INT_0259,80.0,3.0,5
APP_00419,INT_0259,34.0,11.0,5
APP_00420,INT_0260,52.0,6.0,5
APP_00421,INT_0260,18.0,16.0,5
APP_00422,INT_0261,16.0,28.0,5
APP_00423,INT_0261,22.0,15.0,5
APP_00424,INT_0261,27.0,7.0,5
APP_00425,INT_0263,35.0,10.0,5
APP_00426,INT_0263,68.0,38.0,5
APP_00427,INT_0263,15.0,14.0,5
APP_00428,INT_0265,49.0,1.0,5
APP_00429,INT_0265,37.0,0.0,5
APP_00430,INT_0268,41.0,14.0,5
APP_00431,INT_0268,42.0,3.0,5
APP_00432,INT_0268,60.0,1.0,5
APP_00433,INT_0269,23.0,8.0,5
APP_00434,INT_0269,32.0,6.0,5
APP_00435,INT_0272,80.0,0.0,5
APP_00436,INT_0272,79.0,0.0,5
APP_00437,INT_0273,71.0,29.0,5
APP_00438,INT_0273,33.0,7.0,5
APP_00439,INT_0275,24.0,1.0,5
APP_00440,INT_0275,24.0,7.0,5
APP_00441,INT_0276,55.0,21.0,5
APP_00442,INT_0276,56.0,3.0,5
APP_00443,INT_0276,52.0,35.0,5
APP_00444,INT_0277,33.0,9.0,5
APP_00445,INT_0277,48.0,9.0,5
APP_00446,INT_0278,39.0,12.0,5
APP_00447,INT_0278,41.0,6.0,5
APP_00448,INT_0279,11.0,6.0,5
APP_00449,INT_0279,15.0,4.0,5
APP_00450,INT_0280,13.0,6.0,5
APP_00451,INT_0282,33.0,22.0,5
APP_00452,INT_0282,54.0,63.0,5
APP_00453,INT_0282,35.0,55.5,4
APP_00454,INT_0282,55.0,51.0,5
APP_00455,INT_0285,26.0,25.0,5
APP_00456,INT_0285,39.0,11.0,5
APP_00457,INT_0285,47.0,3.0,5
APP_00458,INT_0286,30.0,1.0,5
APP_00459,INT_0286,38.0,13.0,5
APP_00460,INT_0287,29.0,8.0,5
APP_00461,INT_0287,52.0,4.0,5
APP_00462,INT_0288,19.0,1.0,5
APP_00463,INT_0288,23.0,10.0,5
APP_00464,INT_0288,16.0,4.0,5
APP_00465,INT_0289,15.0,0.0,5
APP_00466,INT_0289,27.0,22.0,5
